"","Effect","kg","Mton","Effect3","kg3","Mton3","Effect1","kg1","Mton1"
"1","1990",393217354304.311,393.217354304311,"1990",393217354304.311,393.217354304311,"1990",393217354304.311,393.217354304311
"2","Population",11640817508.0076,11.6408175080076,"Population",49359096540.891,49.359096540891,"Population",96618381402.4492,96.6183814024493
"3","Region",745887424.491808,0.745887424491808,"Region",4521632597.06934,4.52163259706934,"Region",7856861325.16383,7.85686132516383
"4","Type",-1431367058.23606,-1.43136705823606,"Type",-4534665081.87904,-4.53466508187904,"Type",-1913671616.50727,-1.91367161650727
"5","Cohort",-1129029657.74695,-1.12902965774695,"Cohort",-1894813068.35392,-1.89481306835392,"Cohort",-686369322.459379,-0.686369322459379
"6","Occupancy",1945753042.22069,1.94575304222069,"Occupancy",17637262309.9136,17.6372623099136,"Occupancy",30827630905.7925,30.8276309057925
"7","Intensity",16453206387.1921,16.4532063871921,"Intensity",71916083974.1299,71.9160839741299,"Intensity",8556220481.00403,8.55622048100403
"8","GHG Intensity",-1580742167.97274,-1.58074216797274,"GHG Intensity",-2640520705.5639,-2.6405207055639,"GHG Intensity",-144510000268.187,-144.510000268187
"9","1993",419861879782.268,419.861879782268,"2001",527581430870.518,527.581430870518,"2015",389966407211.567,389.966407211567
"10","Population",37718279032.8834,37.7182790328834,"Population",33600394922.4182,33.6003949224182,"NA",0,0
"11","Region",3775745172.57754,3.77574517257754,"Region",3265458788.06191,3.26545878806191,"NA",0,0
"12","Type",-3103298023.64299,-3.10329802364299,"Type",5476907987.20416,5.47690798720416,"NA",0,0
"13","Cohort",-765783410.606971,-0.765783410606971,"Cohort",3479715019.52372,3.47971501952372,"NA",0,0
"14","Occupancy",15691509267.6929,15.6915092676929,"Occupancy",5722207960.80816,5.72220796080816,"NA",0,0
"15","Intensity",55462877586.9378,55.4628775869378,"Intensity",31237066837.7061,31.2370668377061,"NA",0,0
"16","GHG Intensity",-1059778537.59116,-1.05977853759116,"GHG Intensity",-70356213589.3167,-70.3562135893167,"NA",0,0
"17","2001",201,2.01e-07,"2009",540006968796.924,540.006968796924,"NA",0,0
"18","Population",20796247271.9414,20.7962472719414,"Population",13658889939.1401,13.6588899391401,"NA",0,0
"19","Region",102873770.439691,0.102873770439691,"Region",69769940.0325742,0.0697699400325742,"NA",0,0
"20","Type",7332231824.53061,7.33223182453061,"Type",-2855914521.83238,-2.85591452183238,"NA",0,0
"21","Cohort",2525936361.49159,2.52593636149159,"Cohort",-2271271273.62918,-2.27127127362918,"NA",0,0
"22","Occupancy",12297245177.663,12.297245177663,"Occupancy",7468160635.07072,7.46816063507072,"NA",0,0
"23","Intensity",6663611739.67126,6.66361173967126,"Intensity",-94596930330.832,-94.596930330832,"NA",0,0
"24","GHG Intensity",-25659620045.7182,-25.6596200457182,"GHG Intensity",-71513265973.3065,-71.5132659733065,"NA",0,0
"25","2005",551639956970.538,551.639956970538,"2015",389966407211.567,389.966407211567,"NA",0,0
"26","Population",12804147650.4768,12.8041476504768,"NA",0,0,"NA",0,0
"27","Region",3162585017.62222,3.16258501762222,"NA",0,0,"NA",0,0
"28","Type",-1855323837.32646,-1.85532383732646,"NA",0,0,"NA",0,0
"29","Cohort",953778658.03213,0.95377865803213,"NA",0,0,"NA",0,0
"30","Occupancy",-6575037216.85483,-6.57503721685483,"NA",0,0,"NA",0,0
"31","Intensity",24573455098.0348,24.5734550980348,"NA",0,0,"NA",0,0
"32","GHG Intensity",-44696593543.5986,-44.6965935435986,"NA",0,0,"NA",0,0
"33","2009",540006968796.924,540.006968796924,"NA",0,0,"NA",0,0
"34","Population",13658889939.1401,13.6588899391401,"NA",0,0,"NA",0,0
"35","Region",69769940.0325742,0.0697699400325742,"NA",0,0,"NA",0,0
"36","Type",-2855914521.83238,-2.85591452183238,"NA",0,0,"NA",0,0
"37","Cohort",-2271271273.62918,-2.27127127362918,"NA",0,0,"NA",0,0
"38","Occupancy",7468160635.07072,7.46816063507072,"NA",0,0,"NA",0,0
"39","Intensity",-94596930330.832,-94.596930330832,"NA",0,0,"NA",0,0
"40","GHG Intensity",-71513265973.3065,-71.5132659733065,"NA",0,0,"NA",0,0
"41","2015",389966407211.567,389.966407211567,"NA",0,0,"NA",0,0
