"","Effect","Space_heating","Space_cooling","DHW","Other","Total_Energy"
"1","1990",6218.37051552836,1808.90578121278,2559.13866877936,7377.52776343757,17963.9427289581
"2","Population",1276.94424990537,438.842638239822,566.975485876105,1843.66842912086,4126.43080314216
"3","Region",-187.932334404405,107.538520122811,1.26136791673598,66.9885510126756,-12.1438953521817
"4","Type",-94.799753940038,3.29310486545807,10.1692904384051,-25.8550465552589,-107.192405191434
"5","Cohort",-533.849522305306,110.688843488207,14.128882632607,-1.4270359260237,-410.458832110516
"6","Fuel",-145.196252573986,0,146.270456761027,0,1.07420418704115
"7","Occupancy",401.023076323153,163.750613716908,0,535.441524039094,1100.21521407915
"8","Conditioned Space",315.443101593106,361.911809804132,0,0,677.354911397238
"9","Intensity",-161.705309534629,-501.190955616661,468.016424676612,-11.9170856580917,-206.796926132769
"10","Electricity Efficiency",-189.978917260163,-258.42570789339,-167.028473070976,-1007.26116060683,-1622.69425883136
"11","Weather",96.0214986907471,351.379840990398,-29.4403391142293,0,417.961000566916
"12","2015",6994.34035202221,2586.69448893047,3569.49176489565,8777.165938864,21927.6925447123
"13","Total_Change",775.969836493845,777.788707717686,1010.35309611629,1399.63817542643,3963.74981575425
