"","Effect","kg","Mton","Effect3","kg3","Mton3","Effect1","kg1","Mton1"
"1","1990",105594074444.951,105.594074444951,"1990",105594074444.951,105.594074444951,"1990",105594074444.951,105.594074444951
"2","Population",2817363584.97163,2.81736358497163,"Population",11820868977.0589,11.8208689770589,"Population",24612431464.6371,24.6124314646371
"3","Region",314337690.407153,0.314337690407153,"Region",3122977053.17953,3.12297705317953,"Region",6515260823.5651,6.5152608235651
"4","Type",620525930.073192,0.620525930073192,"Type",-154134763.68368,-0.15413476368368,"Type",458363439.864917,0.458363439864917
"5","Cohort",-314351477.01334,-0.31435147701334,"Cohort",1935902448.82939,1.93590244882939,"Cohort",6265403828.66274,6.26540382866274
"6","Occupancy",1833742689.61381,1.83374268961381,"Occupancy",5623077987.34221,5.62307798734221,"Occupancy",9804877013.94709,9.8048770139471
"7","Conditioned Space",1884132526.54258,1.88413252654258,"Conditioned Space",11435688070.5452,11.4356880705452,"Conditioned Space",18864288436.0247,18.8642884360247
"8","Intensity",-12425264936.051,-12.425264936051,"Intensity",-6326555676.46183,-6.32655567646183,"Intensity",-26835930385.5836,-26.8359303855836
"9","GHG Intensity",-93324838.2774945,-0.0933248382774945,"GHG Intensity",-2956387303.18217,-2.95638730318217,"GHG Intensity",-41521478922.2744,-41.5214789222744
"10","Weather",-3335045721.6641,-3.3350457216641,"Weather",2514135349.48796,2.51413534948796,"Weather",15679569015.7483,15.6795690157483
"11","1993",96896189893.5534,96.8961898935534,"2001",132609646588.066,132.609646588066,"2015",119436859159.543,119.436859159543
"12","Population",9003505392.08729,9.00350539208729,"Population",9318012165.1199,9.3180121651199,"NA",0,0
"13","Region",2808639362.77237,2.80863936277237,"Region",2555538556.52734,2.55553855652734,"NA",0,0
"14","Type",-774660693.756872,-0.774660693756872,"Type",1619711160.63227,1.61971116063227,"NA",0,0
"15","Cohort",2250253925.84273,2.25025392584273,"Cohort",4768680488.00112,4.76868048800112,"NA",0,0
"16","Occupancy",3789335297.7284,3.7893352977284,"Occupancy",1979921413.27483,1.97992141327483,"NA",0,0
"17","Conditioned Space",9551555544.00258,9.55155554400258,"Conditioned Space",6590886978.76752,6.59088697876753,"NA",0,0
"18","Intensity",6098709259.58913,6.09870925958913,"Intensity",-17841326441.5438,-17.8413264415438,"NA",0,0
"19","GHG Intensity",-2863062464.90468,-2.86306246490468,"GHG Intensity",-20285487211.796,-20.285487211796,"NA",0,0
"20","Weather",5849181071.15206,5.84918107115206,"Weather",-5057964106.12638,-5.05796410612638,"NA",0,0
"21","2001",201,2.01e-07,"2009",116257619590.923,116.257619590923,"NA",0,0
"22","Population",5929706916.33171,5.92970691633171,"Population",3473550322.45829,3.47355032245829,"NA",0,0
"23","Region",168672125.578377,0.168672125578377,"Region",836745213.858236,0.836745213858236,"NA",0,0
"24","Type",1792641156.0953,1.7926411560953,"Type",-1007212957.08367,-1.00721295708367,"NA",0,0
"25","Cohort",4467925772.20166,4.46792577220166,"Cohort",-439179108.16777,-0.43917910816777,"NA",0,0
"26","Occupancy",3408104032.22229,3.40810403222229,"Occupancy",2201877613.33006,2.20187761333006,"NA",0,0
"27","Conditioned Space",4945996778.21475,4.94599677821475,"Conditioned Space",837713386.712,0.837713386712,"NA",0,0
"28","Intensity",18841419300.6996,18.8414193006996,"Intensity",-2668048267.57797,-2.66804826757797,"NA",0,0
"29","GHG Intensity",-6911477905.32076,-6.91147790532076,"GHG Intensity",-18279604407.2963,-18.2796044072963,"NA",0,0
"30","Weather",14629225201.3019,14.6292252013019,"Weather",18223397772.3868,18.2233977723868,"NA",0,0
"31","2005",179881859965.391,179.881859965391,"2015",119436859159.543,119.436859159543,"NA",0,0
"32","Population",3388305248.78818,3.38830524878819,"NA",0,0,"NA",0,0
"33","Region",2386866430.94896,2.38686643094896,"NA",0,0,"NA",0,0
"34","Type",-172929995.46303,-0.17292999546303,"NA",0,0,"NA",0,0
"35","Cohort",300754715.799464,0.300754715799464,"NA",0,0,"NA",0,0
"36","Occupancy",-1428182618.94746,-1.42818261894746,"NA",0,0,"NA",0,0
"37","Conditioned Space",1644890200.55278,1.64489020055278,"NA",0,0,"NA",0,0
"38","Intensity",-36682745742.2434,-36.6827457422434,"NA",0,0,"NA",0,0
"39","GHG Intensity",-13374009306.4752,-13.3740093064752,"NA",0,0,"NA",0,0
"40","Weather",-19687189307.4283,-19.6871893074283,"NA",0,0,"NA",0,0
"41","2009",116257619590.923,116.257619590923,"NA",0,0,"NA",0,0
"42","Population",3473550322.45829,3.47355032245829,"NA",0,0,"NA",0,0
"43","Region",836745213.858236,0.836745213858236,"NA",0,0,"NA",0,0
"44","Type",-1007212957.08367,-1.00721295708367,"NA",0,0,"NA",0,0
"45","Cohort",-439179108.16777,-0.43917910816777,"NA",0,0,"NA",0,0
"46","Occupancy",2201877613.33006,2.20187761333006,"NA",0,0,"NA",0,0
"47","Conditioned Space",837713386.712,0.837713386712,"NA",0,0,"NA",0,0
"48","Intensity",-2668048267.57797,-2.66804826757797,"NA",0,0,"NA",0,0
"49","GHG Intensity",-18279604407.2963,-18.2796044072963,"NA",0,0,"NA",0,0
"50","Weather",18223397772.3868,18.2233977723868,"NA",0,0,"NA",0,0
"51","2015",119436859159.543,119.436859159543,"NA",0,0,"NA",0,0
