"","Effect","kBTU","PJ","Effect3","kBTU3","PJ3","Effect1","kBTU1","PJ1"
"1","1990",5165486801488.6,5449.58857557047,"1990",5165486801488.6,5449.58857557047,"1990",5165486801488.6,5449.58857557047
"2","Population",153978255601.988,162.447059660097,"Population",589996187355.485,622.445977660037,"Population",1037133666772.59,1094.17601844508
"3","Region",-11391240104.0054,-12.0177583097257,"Region",-149270924391.213,-157.48082523273,"Region",-204667410234.044,-215.924117796917
"4","Type",-77581592121.5421,-81.8485796882269,"Type",-125738452160.834,-132.65406702968,"Type",-93895970357.088,-99.0602487267279
"5","Cohort",-95885943605.5391,-101.159670503844,"Cohort",-240491740123.189,-253.718785829965,"Cohort",-526244686076.957,-555.188143811189
"6","Fuel",-12290643029.7595,-12.9666283963962,"Fuel",-85172547295.23,-89.8570373964676,"Fuel",-367378980902.735,-387.584824852385
"7","Occupancy",17853821416.517,18.8357815944255,"Occupancy",225411933396.331,237.809589733129,"Occupancy",352041601397.719,371.403889474593
"8","Conditioned Space",142443473506.911,150.277864549792,"Conditioned Space",247543353052.085,261.15823746995,"Conditioned Space",214682514809.701,226.490053124235
"9","Intensity",-355286806911.789,-374.827581291938,"Intensity",-424610175721.818,-447.963735386517,"Intensity",-494428259152.339,-521.621813405717
"10","Weather",810506260540.038,855.08410486974,"Weather",171662767603.504,181.104219821696,"Weather",132938749518.542,140.250380742062
"11","1993",5737832386781.42,6053.4131680544,"2001",5374817203203.72,5670.43214937993,"2015",5215668027263.99,5502.52976876351
"12","Population",436017931753.497,459.99891799994,"Population",302336474984.044,318.964981108167,"NA",0,0
"13","Region",-137879684287.208,-145.463066923004,"Region",-12182909288.5773,-12.852969299449,"NA",0,0
"14","Type",-48156860039.2918,-50.8054873414528,"Type",80715847403.8499,85.1552190110617,"NA",0,0
"15","Cohort",-144605796517.65,-152.559115326121,"Cohort",-262902011272.844,-277.36162189285,"NA",0,0
"16","Fuel",-72881904265.4705,-76.8904090000714,"Fuel",-212695814675.074,-224.394084482204,"NA",0,0
"17","Occupancy",207558111979.814,218.973808138704,"Occupancy",38046354100.2813,40.1389035757968,"NA",0,0
"18","Conditioned Space",105099879545.174,110.880372920158,"Conditioned Space",-403564506908.587,-425.760554788559,"NA",0,0
"19","Intensity",-69323368810.0281,-73.1361540945797,"Intensity",-310327732244.21,-327.395757517642,"NA",0,0
"20","Weather",-638843492936.534,-673.979885048044,"Weather",328044636155.106,346.087091143637,"NA",0,0
"21","2001",5374817203203.72,5670.43214937993,"2009",4922287541457.71,5193.01335623788,"NA",0,0
"22","Population",190872992856.63,201.371007463745,"Population",144801004433.057,152.765059676875,"NA",0,0
"23","Region",4469432539.51095,4.71525132918405,"Region",-43213576554.2538,-45.5903232647378,"NA",0,0
"24","Type",94282176147.0717,99.4676958351607,"Type",-48873365600.1041,-51.5614007081098,"NA",0,0
"25","Cohort",-226213012899.527,-238.654728609001,"Cohort",-22850934680.9234,-24.1077360883742,"NA",0,0
"26","Fuel",-35630860286.8157,-37.5905576025905,"Fuel",-69510618932.4302,-73.3337029737139,"NA",0,0
"27","Occupancy",98868401058.7278,104.306163116958,"Occupancy",88583313901.1064,93.4553961656672,"NA",0,0
"28","Conditioned Space",-508317728490.6,-536.275203557583,"Conditioned Space",370703668666.203,391.092370442845,"NA",0,0
"29","Intensity",-250924140615.22,-264.724968349057,"Intensity",240509648813.689,253.737679498442,"NA",0,0
"30","Weather",167311417491.985,176.513545454044,"Weather",-366768654240.067,-386.940930223271,"NA",0,0
"31","2005",4909535881005.49,5179.56035446079,"2015",5215668027263.99,5502.52976876351,"NA",0,0
"32","Population",111463482127.414,117.593973644422,"NA",0,0,"NA",0,0
"33","Region",-16652341828.0882,-17.5682206286331,"NA",0,0,"NA",0,0
"34","Type",-13566328743.2218,-14.312476824099,"NA",0,0,"NA",0,0
"35","Cohort",-36688998373.3166,-38.706893283849,"NA",0,0,"NA",0,0
"36","Fuel",-177064954388.259,-186.803526879613,"NA",0,0,"NA",0,0
"37","Occupancy",-60822046958.4465,-64.167259541161,"NA",0,0,"NA",0,0
"38","Conditioned Space",104753221582.013,110.514648769024,"NA",0,0,"NA",0,0
"39","Intensity",-59403591628.9897,-62.6707891685841,"NA",0,0,"NA",0,0
"40","Weather",160733218663.121,169.573545689592,"NA",0,0,"NA",0,0
"41","2009",4922287541457.71,5193.01335623788,"NA",0,0,"NA",0,0
"42","Population",144801004433.057,152.765059676875,"NA",0,0,"NA",0,0
"43","Region",-43213576554.2538,-45.5903232647378,"NA",0,0,"NA",0,0
"44","Type",-48873365600.1041,-51.5614007081098,"NA",0,0,"NA",0,0
"45","Cohort",-22850934680.9234,-24.1077360883742,"NA",0,0,"NA",0,0
"46","Fuel",-69510618932.4302,-73.3337029737139,"NA",0,0,"NA",0,0
"47","Occupancy",88583313901.1064,93.4553961656672,"NA",0,0,"NA",0,0
"48","Conditioned Space",370703668666.203,391.092370442845,"NA",0,0,"NA",0,0
"49","Intensity",240509648813.689,253.737679498442,"NA",0,0,"NA",0,0
"50","Weather",-366768654240.067,-386.940930223271,"NA",0,0,"NA",0,0
"51","2015",5215668027263.99,5502.52976876351,"NA",0,0,"NA",0,0
