"","Effect","kBTU","PJ","Effect3","kBTU3","PJ3","Effect1","kBTU1","PJ1"
"1","1990",5894190062112.19,6218.37051552836,"1990",5894190062112.19,6218.37051552836,"1990",5894190062112.19,6218.37051552836
"2","Population",176497266748.8,186.204616419984,"Population",684317637083.044,721.955107122612,"Population",1210373696592.76,1276.94424990537
"3","Region",-9402681411.35975,-9.91982888898454,"Region",-130497025399.344,-137.674361796308,"Region",-178134914127.398,-187.932334404405
"4","Type",-78657127590.185,-82.9832696076451,"Type",-134893825451.39,-142.312985851217,"Type",-89857586673.0218,-94.799753940038
"5","Cohort",-104916991690.681,-110.687426233669,"Cohort",-243219806594.468,-256.596895957163,"Cohort",-506018504554.793,-533.849522305306
"6","Fuel",83211007378.97,87.7876127848133,"Fuel",59554146970.4492,62.8296250538239,"Fuel",-137626779690.982,-145.196252573986
"7","Occupancy",25514364876.0708,26.9176549442547,"Occupancy",260980860804.703,275.334808148962,"Occupancy",380116660021.946,401.023076323153
"8","Conditioned Space",163972616538.613,172.991110448237,"Conditioned Space",275464894366.462,290.615463556617,"Conditioned Space",298998200562.186,315.443101593106
"9","Intensity",-369600928049.452,-389.928979092171,"Intensity",-532499453835.959,-561.786923796936,"Intensity",-153275174914.34,-161.705309534629
"10","Electricity Efficiency",-9494460874.15179,-10.0166562222301,"Electricity Efficiency",-28719051748.9915,-30.298599595186,"Electricity Efficiency",-180074803090.201,-189.978917260163
"11","Weather",936926589225.725,988.45755163314,"Weather",196227744039.385,207.020269961551,"Weather",91015638569.4285,96.0214986907471
"12","1993",6708239717264.54,7077.19290171409,"2001",6300906182346.08,6647.45602237512,"2015",6629706494807.78,6994.34035202221
"13","Population",507820370334.244,535.750490702628,"Population",348154352423.157,367.302841806431,"NA",0,0
"14","Region",-121094343987.984,-127.754532907323,"Region",-9938358386.83848,-10.4849680981146,"NA",0,0
"15","Type",-56236697861.2055,-59.3297162435718,"Type",94415076884.1771,99.6079061128068,"NA",0,0
"16","Cohort",-138302814903.786,-145.909469723495,"Cohort",-239629115897.402,-252.808717271759,"NA",0,0
"17","Fuel",-23656860408.5208,-24.9579877309894,"Fuel",-142819189896.591,-150.674245340903,"NA",0,0
"18","Occupancy",235466495928.632,248.417153204707,"Occupancy",4115398921.99142,4.34174586270095,"NA",0,0
"19","Conditioned Space",111492277827.848,117.62435310838,"Conditioned Space",-438070732458.998,-462.164622744242,"NA",0,0
"20","Intensity",-162898525786.507,-171.857944704765,"Intensity",-398337766662.373,-420.246343828803,"NA",0,0
"21","Electricity Efficiency",-19224590874.8397,-20.2819433729559,"Electricity Efficiency",-40243978742.2754,-42.4573975731006,"NA",0,0
"22","Weather",-740698845186.34,-781.437281671588,"Weather",367636835463.616,387.856861414115,"NA",0,0
"23","2001",6300906182346.08,6647.45602237512,"2009",5846188703994.55,6167.72908271425,"NA",0,0
"24","Population",218986296559.261,231.03054287002,"Population",177901707086.561,187.686300976322,"NA",0,0
"25","Region",3411510580.00994,3.59914366191049,"Region",-37699530341.2152,-39.7730045099821,"NA",0,0
"26","Type",104688130150.82,110.445977309115,"Type",-49378838105.8085,-52.0946742016279,"NA",0,0
"27","Cohort",-205130740108.923,-216.412930814914,"Cohort",-23169582062.9234,-24.4439090763841,"NA",0,0
"28","Fuel",-55220807595.4013,-58.2579520131483,"Fuel",-54361736764.8401,-57.3516322869063,"NA",0,0
"29","Occupancy",82074698085.8389,86.5888064805601,"Occupancy",115020400295.251,121.34652231149,"NA",0,0
"30","Conditioned Space",-569112230770.205,-600.413403462567,"Conditioned Space",461604038654.722,486.992260780731,"NA",0,0
"31","Intensity",-474422959836.52,-500.516222627529,"Intensity",777562045583.991,820.327958091111,"NA",0,0
"32","Electricity Efficiency",-19113531818.8771,-20.1647760689154,"Electricity Efficiency",-111111772598.935,-117.222920091876,"NA",0,0
"33","Weather",177091357204.981,186.831381851255,"Weather",-472848940933.573,-498.855632684919,"NA",0,0
"34","2005",5564157904797.07,5870.18658956091,"2015",6629706494807.78,6994.34035202221,"NA",0,0
"35","Population",129168055863.896,136.272298936411,"NA",0,0,"NA",0,0
"36","Region",-13349868966.8484,-14.0841117600251,"NA",0,0,"NA",0,0
"37","Type",-10273053266.6429,-10.8380711963083,"NA",0,0,"NA",0,0
"38","Cohort",-34498375788.4787,-36.3957864568451,"NA",0,0,"NA",0,0
"39","Fuel",-87598382301.1897,-92.4162933277552,"NA",0,0,"NA",0,0
"40","Occupancy",-77959299163.8475,-82.2470606178591,"NA",0,0,"NA",0,0
"41","Conditioned Space",131041498311.208,138.248780718324,"NA",0,0,"NA",0,0
"42","Intensity",76085193174.1479,80.269878798726,"NA",0,0,"NA",0,0
"43","Electricity Efficiency",-21130446923.3983,-22.2926215041852,"NA",0,0,"NA",0,0
"44","Weather",190545478258.635,201.02547956286,"NA",0,0,"NA",0,0
"45","2009",5846188703994.55,6167.72908271425,"NA",0,0,"NA",0,0
"46","Population",177901707086.561,187.686300976322,"NA",0,0,"NA",0,0
"47","Region",-37699530341.2152,-39.7730045099821,"NA",0,0,"NA",0,0
"48","Type",-49378838105.8085,-52.0946742016279,"NA",0,0,"NA",0,0
"49","Cohort",-23169582062.9234,-24.4439090763841,"NA",0,0,"NA",0,0
"50","Fuel",-54361736764.8401,-57.3516322869063,"NA",0,0,"NA",0,0
"51","Occupancy",115020400295.251,121.34652231149,"NA",0,0,"NA",0,0
"52","Conditioned Space",461604038654.722,486.992260780731,"NA",0,0,"NA",0,0
"53","Intensity",777562045583.991,820.327958091111,"NA",0,0,"NA",0,0
"54","Electricity Efficiency",-111111772598.935,-117.222920091876,"NA",0,0,"NA",0,0
"55","Weather",-472848940933.573,-498.855632684919,"NA",0,0,"NA",0,0
"56","2015",6629706494807.78,6994.34035202221,"NA",0,0,"NA",0,0
